,AS_1,MTV_1,FC_1,I_1,CR_1,PCT_1,AS_2,MTV_2,FC_2,I_2,CR_2,PCT_2,resultado
17_3,0.992185,6.0,-186.33333333333334,0.5260416666666666,2.013333333333333,0,0.9830683333333333,5.833333333333333,3901.3333333333335,0.4947916666666667,3.1733333333333333,0,0
17_4,0.9921875,5.75,3136.0,0.4375,2.479999999999995,0,0.9440066666666667,5.0,4778.333333333333,0.5208333333333334,3.226666666666663,0,0
18_1,0.9986966666666667,4.5,4191.333333333333,0.6875,3.0266666666666633,0,0.9804666666666666,4.666666666666667,3605.3333333333335,0.4270833333333333,2.4399999999999964,0,1
18_2,0.9895816666666667,6.333333333333333,1994.0,0.4895833333333333,3.0266666666666637,0,0.96484,5.0,6067.5,0.4453125,2.279999999999995,0,1
18_3,0.98828,5.833333333333333,640.3333333333334,0.421875,2.413333333333333,0,0.9869733333333333,6.0,3074.6666666666665,0.5989583333333334,2.7733333333333334,0,0
18_4,0.9902325000000001,5.75,768.0,0.6484375,3.2199999999999998,0,0.9453100000000001,5.0,6357.0,0.3802083333333333,2.7333333333333267,0,1
19_1,1.0,5.166666666666667,4439.666666666667,0.6666666666666666,3.0799999999999965,0,0.96484,4.75,7988.5,0.4140625,2.239999999999995,0,0
19_2,0.9882783333333333,6.166666666666667,1327.3333333333333,0.59375,3.2133333333333334,0,0.9908800000000001,5.5,3541.3333333333335,0.5520833333333334,3.026666666666667,0,1
19_3,0.990885,5.666666666666667,2986.3333333333335,0.3645833333333333,2.9866666666666633,0,0.9453083333333332,5.5,6255.666666666667,0.515625,2.919999999999997,0,1
19_4,0.986325,5.25,-2123.5,0.609375,2.0,0,0.9765616666666667,4.833333333333333,1959.3333333333333,0.359375,2.0266666666666597,0,1
20_1,0.9778633333333334,4.666666666666667,6028.666666666667,0.5833333333333334,2.50666666666666,0,0.9980450000000001,5.5,5605.0,0.5390625,3.0999999999999996,0,0
20_2,0.9856733333333333,6.666666666666667,1388.6666666666667,0.53125,3.16,0,0.9934850000000001,5.0,3480.0,0.6145833333333334,3.0799999999999996,0,1
20_3,0.9895816666666667,5.666666666666667,2547.0,0.4791666666666667,3.3199999999999967,0,0.9466116666666666,5.5,6695.0,0.4010416666666667,2.5866666666666633,0,0
20_4,0.9628875,4.5,-840.5,0.5390625,2.319999999999995,0,0.9921866666666667,5.333333333333333,1104.0,0.40625,1.81333333333333,0,0
21_1,0.9778633333333334,5.666666666666667,5559.0,0.546875,2.8133333333333295,0,0.9980450000000001,4.0,6309.5,0.59375,2.639999999999995,0,0
21_2,0.9895783333333332,5.833333333333333,1831.0,0.5885416666666666,3.2000000000000006,0,0.9895800000000001,5.833333333333333,3037.6666666666665,0.5572916666666666,3.0400000000000005,0,1
21_3,0.9986966666666667,5.333333333333333,1824.0,0.5,3.133333333333327,0,0.9374966666666666,5.833333333333333,7418.0,0.3802083333333333,2.7733333333333334,0,0
21_4,0.9687475,4.75,-1988.0,0.4921875,1.319999999999995,0,0.98828,5.166666666666667,1869.0,0.4375,2.4799999999999964,0,0
22_1,0.9778633333333334,5.333333333333333,3434.0,0.3854166666666667,2.46666666666666,0,0.9947916666666666,4.666666666666667,3501.3333333333335,0.46875,2.319999999999993,0,0
22_2,0.9902299999999999,5.75,-660.0,0.5390625,2.06,0,0.9902325000000001,5.75,4569.0,0.484375,2.96,0,1
22_3,0.9986966666666667,5.666666666666667,3949.0,0.6614583333333334,3.4799999999999964,0,0.9856733333333333,5.5,4869.666666666667,0.4895833333333333,3.0799999999999996,0,0
22_4,0.9752566666666667,5.166666666666667,945.6666666666666,0.5572916666666666,2.7066666666666634,0,0.9400999999999998,5.5,5114.0,0.4895833333333333,2.6799999999999997,0,0
23_1,0.9778633333333334,5.5,3119.3333333333335,0.3958333333333333,2.53333333333333,0,0.9947916666666666,4.5,3816.0,0.4583333333333333,2.253333333333323,0,1
23_2,0.988275,6.0,1951.0,0.515625,3.12,0,0.9908833333333334,5.666666666666667,1955.6666666666667,0.5104166666666666,2.3066666666666666,0,0
23_3,0.9947883333333333,5.333333333333333,4384.0,0.6614583333333334,3.37333333333333,0,0.9895816666666667,5.833333333333333,4434.666666666667,0.4895833333333333,3.186666666666666,0,0
23_4,0.9283816666666667,5.333333333333333,4644.0,0.3802083333333333,2.5999999999999965,0,0.986975,5.333333333333333,1415.6666666666667,0.6666666666666666,2.7866666666666666,0,0
24_1,0.9778633333333334,5.166666666666667,4623.0,0.4010416666666667,2.4533333333333265,0,0.9947916666666666,4.833333333333333,2312.3333333333335,0.453125,2.3333333333333264,0,0
24_2,0.9902299999999999,5.75,-660.0,0.5390625,2.06,0,0.9902325000000001,5.75,4569.0,0.484375,2.96,0,0
24_3,0.9947883333333333,5.666666666666667,2926.0,0.671875,3.4266666666666636,0,0.9895816666666667,5.5,5892.666666666667,0.4791666666666667,3.133333333333333,0,1
24_4,0.9322883333333333,4.5,4641.333333333333,0.4322916666666667,2.6266666666666634,0,0.9830683333333333,6.166666666666667,1418.3333333333333,0.6145833333333334,2.7600000000000002,0,1
25_1,0.98177,4.833333333333333,1961.6666666666667,0.4114583333333333,2.42666666666666,0,0.9895833333333334,6.0,1152.0,0.3802083333333333,2.5466666666666633,0,1
25_2,0.9628875,5.25,2004.0,0.4765625,1.359999999999995,0,0.9843725000000001,5.25,7317.0,0.3828125,3.0199999999999996,0,0
